GW Pos. Heuristic,ED Sched. Method,Position distr.,Periods distr.,Map size,ED Number,ED Dens. (1/m^2),Max. SF,GW Number,Channels used,ED Unfeas. Instances,Coverage %,GW Avg. UF,Elapsed,Iterations,Exit condition
Springs,EDF,Uniform,Hard,1000,5000,0.01,9,35,13,0,100.00,0.07,6823,94,Max. coverage
Springs,EDF,Uniform,Hard,1000,10000,0.01,8,41,6,0,100.00,0.12,16488,150,Max. coverage
Random,EDF,Uniform,Medium,1000,100000,0.10,7,238,12,0,96.58,0.03,5402026,2537,Timeout
Springs,EDF,Uniform,Hard,1000,100,0.00,9,21,9,0,100.00,0.00,131,54,Max. coverage
Springs,EDF,Uniform,Hard,1000,200,0.00,9,39,14,0,100.00,0.00,434,267,Max. coverage
Springs,EDF,Uniform,Hard,1000,500,0.00,9,29,12,0,100.00,0.01,1151,219,Max. coverage
Springs,EDF,Uniform,Hard,1000,1000,0.00,9,27,11,0,100.00,0.02,2410,156,Max. coverage
Springs,EDF,Uniform,Hard,1000,2000,0.00,9,36,14,0,100.00,0.03,5785,285,Max. coverage
Springs,EDF,Uniform,Hard,1000,5000,0.01,9,36,14,0,100.00,0.07,7335,114,Max. coverage
Springs,EDF,Uniform,Hard,1000,10000,0.01,9,40,14,0,100.00,0.12,11237,95,Max. coverage
Springs,EDF,Uniform,Hard,1000,20000,0.02,8,68,11,0,100.00,0.12,52310,117,Max. coverage
Springs,EDF,Uniform,Hard,1000,20000,0.02,8,67,10,0,100.00,0.12,39619,96,Max. coverage
Springs,EDF,Uniform,Hard,1000,50000,0.05,8,104,14,0,100.00,0.18,168370,53,Max. coverage
Random,EDF,Uniform,Hard,1000,5000,0.01,7,500,22,0,100.00,0.00,1081598,5348,Max. coverage
Springs,EDF,Uniform,Hard,1000,50000,0.05,8,101,12,0,100.00,0.19,156693,18,Max. coverage
Random,EDF,Uniform,Hard,1000,10000,0.01,8,108,14,0,100.00,0.04,564252,828,Max. coverage
Random,EDF,Uniform,Hard,1000,10000,0.01,7,499,18,0,100.00,0.01,2194198,5246,Max. coverage
Springs,EDF,Uniform,Hard,1000,100000,0.10,7,308,13,0,100.00,0.10,2158848,1221,Max. coverage
Random,EDF,Uniform,Hard,1000,100,0.00,8,50,9,0,100.00,0.00,2342,527,Max. coverage
Random,EDF,Uniform,Hard,1000,200,0.00,8,66,10,0,100.00,0.00,6318,633,Max. coverage
Random,EDF,Uniform,Hard,1000,500,0.00,8,87,13,0,100.00,0.00,20364,858,Max. coverage
Random,EDF,Uniform,Hard,1000,1000,0.00,8,88,10,0,100.00,0.01,47573,793,Max. coverage
Random,EDF,Uniform,Hard,1000,2000,0.00,8,94,13,0,100.00,0.01,114345,864,Max. coverage
Springs,EDF,Uniform,Hard,1000,100000,0.10,7,319,14,0,100.00,0.10,2342032,1327,Max. coverage
Random,EDF,Uniform,Hard,1000,100,0.00,9,39,15,0,100.00,0.00,1795,395,Max. coverage
Random,EDF,Uniform,Hard,1000,200,0.00,8,60,12,0,100.00,0.00,5974,593,Max. coverage
Random,EDF,Uniform,Hard,1000,500,0.00,8,94,15,0,100.00,0.00,21602,900,Max. coverage
Random,EDF,Uniform,Hard,1000,1000,0.00,8,95,13,0,100.00,0.00,49602,871,Max. coverage
Random,EDF,Uniform,Hard,1000,2000,0.00,8,111,15,0,100.00,0.01,106843,1039,Max. coverage
Random,EDF,Uniform,Hard,1000,5000,0.01,7,519,19,0,100.00,0.00,1176060,5599,Max. coverage
Random,EDF,Uniform,Hard,1000,5000,0.01,7,480,21,0,100.00,0.00,1058663,5115,Max. coverage
Random,EDF,Uniform,Hard,1000,10000,0.01,8,114,14,0,100.00,0.03,578912,896,Max. coverage
Random,EDF,Uniform,Hard,1000,20000,0.02,7,567,21,0,100.00,0.01,4987246,5678,Max. coverage
Random,EDF,Uniform,Hard,1000,10000,0.01,7,533,21,0,100.00,0.01,2397142,5618,Max. coverage
Random,EDF,Uniform,Hard,1000,20000,0.02,7,565,23,0,100.00,0.01,5005063,5655,Max. coverage
Random,EDF,Uniform,Hard,1000,20000,0.02,7,585,21,0,99.99,0.01,5400336,5891,Timeout
Random,EDF,Uniform,Hard,1000,20000,0.02,7,489,20,0,100.00,0.01,4048358,4838,Max. coverage
Random,EDF,Uniform,Hard,1000,50000,0.05,7,288,14,0,98.25,0.05,5401306,2139,Timeout
Random,EDF,Uniform,Hard,1000,50000,0.05,7,293,13,0,98.58,0.05,5400385,2204,Timeout
Random,EDF,Uniform,Hard,1000,50000,0.05,7,298,17,0,98.31,0.05,5401466,2250,Timeout
Random,EDF,Uniform,Hard,1000,50000,0.05,7,324,15,0,99.26,0.05,5400945,2534,Timeout
Random,EDF,Uniform,Hard,1000,100000,0.10,7,316,16,0,97.85,0.10,5402003,1323,Timeout
Springs,EDF,Uniform,Soft,2000,100,0.00,12,3,3,0,100.00,0.01,1,45,Max. coverage
Springs,EDF,Uniform,Soft,2000,100,0.00,12,3,3,0,100.00,0.01,1,47,Max. coverage
Springs,EDF,Uniform,Soft,2000,100,0.00,12,4,4,0,100.00,0.01,2,61,Max. coverage
