Method,Pos. distr.,Period distr., Map size, ED, Dens, Max. SF, GW, Channels, Coverage, Avg. UF, Elapsed, Iters, Exit cond.
Random,Uniform,Medium,2000,5000,0.00,12,17,3,100.00,0.04,806,137,Max. coverage
Random,Uniform,Medium,2000,10000,0.00,12,22,3,100.00,0.07,2363,143,Max. coverage
Random,Uniform,Medium,2000,20000,0.01,12,21,8,100.00,0.14,3393,76,Max. coverage
Springs,Uniform,Medium,2000,100000,0.03,10,67,14,100.00,0.23,9676,28,Max. coverage
Random,Uniform,Medium,2000,100,0.00,12,4,1,100.00,0.00,1,40,Max. coverage
Random,Uniform,Medium,2000,200,0.00,12,5,1,100.00,0.01,4,56,Max. coverage
Random,Uniform,Medium,2000,500,0.00,12,7,1,100.00,0.01,17,76,Max. coverage
Random,Uniform,Medium,2000,1000,0.00,12,10,1,100.00,0.02,66,107,Max. coverage
Random,Uniform,Medium,2000,2000,0.00,12,11,1,100.00,0.03,188,132,Max. coverage
Random,Uniform,Medium,2000,5000,0.00,12,17,3,100.00,0.04,822,143,Max. coverage
Random,Uniform,Medium,2000,10000,0.00,12,18,5,100.00,0.08,1486,97,Max. coverage
Random,Uniform,Medium,2000,20000,0.01,12,25,7,100.00,0.12,5344,119,Max. coverage
Random,Uniform,Medium,2000,50000,0.01,11,37,10,100.00,0.20,15661,81,Max. coverage
Random,Uniform,Medium,2000,100000,0.03,10,65,11,100.00,0.23,1310,1,Max. coverage
Springs,Uniform,Hard,2000,100,0.00,10,63,1,100.00,0.00,402,788,Max. coverage
Springs,Uniform,Hard,2000,200,0.00,10,67,1,100.00,0.00,64,47,Max. coverage
Springs,Uniform,Hard,2000,500,0.00,10,129,1,100.00,0.00,228,53,Max. coverage
Springs,Uniform,Hard,2000,1000,0.00,10,166,1,100.00,0.01,1923,248,Max. coverage
Springs,Uniform,Hard,2000,2000,0.00,10,153,1,100.00,0.01,10937,778,Max. coverage
Random,Uniform,Medium,2000,50000,0.01,11,43,12,100.00,0.18,30748,154,Max. coverage
Random,Uniform,Medium,2000,100000,0.03,10,65,13,100.00,0.23,2371,4,Max. coverage
Springs,Uniform,Hard,2000,100,0.00,10,48,1,100.00,0.00,42,113,Max. coverage
Springs,Uniform,Hard,2000,200,0.00,10,101,1,100.00,0.00,1072,849,Max. coverage
Springs,Uniform,Hard,2000,500,0.00,10,136,1,100.00,0.00,90,15,Max. coverage
Springs,Uniform,Hard,2000,1000,0.00,10,194,1,100.00,0.01,4842,591,Max. coverage
Springs,Uniform,Hard,2000,5000,0.00,10,152,1,100.00,0.03,24598,692,Max. coverage
Springs,Uniform,Hard,2000,2000,0.00,10,154,1,100.00,0.01,10603,743,Max. coverage
Springs,Uniform,Hard,2000,10000,0.00,10,163,1,100.00,0.06,16493,191,Max. coverage
Springs,Uniform,Hard,2000,5000,0.00,10,149,1,100.00,0.03,20472,651,Max. coverage
Springs,Uniform,Hard,2000,20000,0.01,10,203,1,100.00,0.09,12618,60,Max. coverage
Springs,Uniform,Hard,2000,10000,0.00,10,181,1,100.00,0.05,32322,384,Max. coverage
Springs,Uniform,Hard,2000,50000,0.01,10,303,4,100.00,0.16,31630,43,Max. coverage
Springs,Uniform,Hard,2000,20000,0.01,10,210,1,100.00,0.09,27494,132,Max. coverage
Springs,Uniform,Hard,2000,50000,0.01,10,300,5,100.00,0.16,18418,20,Max. coverage
Springs,Uniform,Hard,2000,100000,0.03,8,503,5,100.00,0.19,86954,38,Max. coverage
Random,Uniform,Hard,2000,100,0.00,10,65,1,99.00,0.00,2297,1000,Max. iterations
Random,Uniform,Hard,2000,200,0.00,10,124,1,100.00,0.00,12287,1719,Max. coverage
Random,Uniform,Hard,2000,500,0.00,10,236,1,100.00,0.00,36940,1966,Max. coverage
Springs,Uniform,Hard,2000,100000,0.03,8,504,5,100.00,0.19,128926,57,Max. coverage
Random,Uniform,Hard,2000,100,0.00,10,65,1,97.00,0.00,2145,1000,Max. iterations
Random,Uniform,Hard,2000,200,0.00,10,121,1,100.00,0.00,10041,1541,Max. coverage
Random,Uniform,Hard,2000,500,0.00,10,236,1,100.00,0.00,41592,2235,Max. coverage
Random,Uniform,Hard,2000,1000,0.00,10,332,1,100.00,0.00,93352,2473,Max. coverage
Random,Uniform,Hard,2000,1000,0.00,10,326,1,100.00,0.00,89999,2436,Max. coverage
Random,Uniform,Hard,2000,2000,0.00,10,389,1,100.00,0.01,252765,3381,Max. coverage
Random,Uniform,Hard,2000,2000,0.00,10,393,1,100.00,0.00,260175,3511,Max. coverage
Random,Uniform,Hard,2000,5000,0.00,10,440,1,100.00,0.01,703859,3819,Max. coverage
Random,Uniform,Hard,2000,5000,0.00,10,509,1,100.00,0.01,885171,4616,Max. coverage
Random,Uniform,Hard,2000,10000,0.00,10,525,1,100.00,0.02,1659242,4164,Max. coverage
Random,Uniform,Hard,2000,10000,0.00,10,483,1,100.00,0.02,1419787,3683,Max. coverage
Random,Uniform,Hard,2000,20000,0.01,10,487,1,100.00,0.04,2497415,3168,Max. coverage
Random,Uniform,Hard,2000,20000,0.01,10,490,1,100.00,0.04,2570733,3201,Max. coverage
Random,Uniform,Hard,2000,50000,0.01,10,530,2,100.00,0.09,5401358,2534,Timeout
Random,Uniform,Hard,2000,50000,0.01,10,533,1,100.00,0.09,5400331,2577,Timeout
Springs,Uniform,Soft,2000,100,0.00,12,3,1,100.00,0.00,0,43,Max. coverage
Springs,Uniform,Soft,2000,100,0.00,12,3,1,100.00,0.00,0,46,Max. coverage
Springs,Uniform,Soft,2000,200,0.00,12,3,1,100.00,0.01,1,29,Max. coverage
Springs,Uniform,Soft,2000,200,0.00,12,3,1,100.00,0.01,1,46,Max. coverage
Springs,Uniform,Soft,2000,500,0.00,12,3,1,100.00,0.02,4,51,Max. coverage
Springs,Uniform,Soft,2000,500,0.00,12,4,1,100.00,0.01,7,68,Max. coverage
Springs,Uniform,Soft,2000,1000,0.00,12,4,1,100.00,0.02,12,58,Max. coverage
Springs,Uniform,Soft,2000,1000,0.00,12,4,1,100.00,0.02,15,69,Max. coverage
Springs,Uniform,Soft,2000,2000,0.00,12,4,3,100.00,0.05,27,58,Max. coverage
Springs,Uniform,Soft,2000,2000,0.00,12,4,4,100.00,0.05,33,69,Max. coverage
Springs,Uniform,Soft,2000,5000,0.00,12,5,4,100.00,0.10,6,2,Max. coverage
Springs,Uniform,Soft,2000,5000,0.00,12,5,5,100.00,0.10,16,8,Max. coverage
Springs,Uniform,Soft,2000,10000,0.00,12,7,7,100.00,0.14,207,38,Max. coverage
Springs,Uniform,Soft,2000,10000,0.00,12,7,6,100.00,0.14,231,44,Max. coverage
Springs,Uniform,Soft,2000,20000,0.01,12,11,8,100.00,0.17,355,21,Max. coverage
Springs,Uniform,Soft,2000,20000,0.01,12,11,8,100.00,0.17,441,28,Max. coverage
Springs,Uniform,Soft,2000,50000,0.01,11,21,11,100.00,0.23,2158,30,Max. coverage
Springs,Uniform,Soft,2000,100000,0.03,10,80,9,100.00,0.12,733,0,Max. coverage
Random,Uniform,Soft,2000,100,0.00,12,4,1,100.00,0.00,1,46,Max. coverage
Random,Uniform,Soft,2000,200,0.00,12,3,1,100.00,0.01,1,28,Max. coverage
Random,Uniform,Soft,2000,500,0.00,12,4,1,100.00,0.01,8,42,Max. coverage
Random,Uniform,Soft,2000,1000,0.00,12,5,1,100.00,0.02,25,58,Max. coverage
Random,Uniform,Soft,2000,2000,0.00,12,5,3,100.00,0.04,56,59,Max. coverage
Random,Uniform,Soft,2000,5000,0.00,12,7,4,100.00,0.07,94,26,Max. coverage
Random,Uniform,Soft,2000,10000,0.00,12,10,5,100.00,0.10,772,70,Max. coverage
Springs,Uniform,Soft,2000,50000,0.01,10,21,7,100.00,0.23,4266,50,Max. coverage
Springs,Uniform,Soft,2000,100000,0.03,10,80,7,100.00,0.12,718,0,Max. coverage
Random,Uniform,Soft,2000,100,0.00,12,3,1,100.00,0.00,1,37,Max. coverage
Random,Uniform,Soft,2000,200,0.00,12,4,1,100.00,0.01,2,37,Max. coverage
Random,Uniform,Soft,2000,500,0.00,12,4,1,100.00,0.01,10,51,Max. coverage
Random,Uniform,Soft,2000,1000,0.00,12,4,1,100.00,0.02,15,43,Max. coverage
Random,Uniform,Soft,2000,2000,0.00,12,5,3,100.00,0.04,60,66,Max. coverage
Random,Uniform,Soft,2000,5000,0.00,12,7,3,100.00,0.07,99,25,Max. coverage
Random,Uniform,Soft,2000,20000,0.01,12,13,9,100.00,0.15,1838,50,Max. coverage
Random,Uniform,Soft,2000,10000,0.00,12,10,7,100.00,0.10,738,65,Max. coverage
Random,Uniform,Soft,2000,20000,0.01,12,14,8,100.00,0.14,1718,49,Max. coverage
Random,Uniform,Soft,2000,50000,0.01,11,24,12,100.00,0.20,7967,52,Max. coverage
Random,Uniform,Soft,2000,100000,0.03,10,80,8,100.00,0.12,1106,0,Max. coverage
Springs,Uniform,Medium,2000,100,0.00,12,2,1,100.00,0.01,0,24,Max. coverage
Springs,Uniform,Medium,2000,200,0.00,12,3,1,100.00,0.01,1,40,Max. coverage
Springs,Uniform,Medium,2000,500,0.00,12,5,1,100.00,0.02,11,92,Max. coverage
Springs,Uniform,Medium,2000,1000,0.00,12,7,1,100.00,0.02,25,90,Max. coverage
Springs,Uniform,Medium,2000,2000,0.00,12,7,1,100.00,0.04,64,102,Max. coverage
Springs,Uniform,Medium,2000,5000,0.00,12,8,4,100.00,0.09,89,43,Max. coverage
Springs,Uniform,Medium,2000,10000,0.00,12,12,5,100.00,0.13,241,37,Max. coverage
Random,Uniform,Soft,2000,50000,0.01,11,23,14,100.00,0.21,8038,49,Max. coverage
Springs,Uniform,Medium,2000,20000,0.01,12,18,7,100.00,0.17,761,40,Max. coverage
Random,Uniform,Soft,2000,100000,0.03,10,80,5,100.00,0.12,729,0,Max. coverage
Springs,Uniform,Medium,2000,100,0.00,12,2,1,100.00,0.01,0,24,Max. coverage
Springs,Uniform,Medium,2000,200,0.00,12,3,1,100.00,0.01,1,41,Max. coverage
Springs,Uniform,Medium,2000,500,0.00,12,6,1,100.00,0.01,11,97,Max. coverage
Springs,Uniform,Medium,2000,1000,0.00,12,6,1,100.00,0.03,20,79,Max. coverage
Springs,Uniform,Medium,2000,2000,0.00,12,7,1,100.00,0.04,59,90,Max. coverage
Springs,Uniform,Medium,2000,5000,0.00,12,10,5,100.00,0.08,152,64,Max. coverage
Springs,Uniform,Medium,2000,10000,0.00,12,13,6,100.00,0.12,232,36,Max. coverage
Springs,Uniform,Medium,2000,50000,0.01,11,31,14,100.00,0.24,1714,20,Max. coverage
Springs,Uniform,Medium,2000,20000,0.01,12,20,8,100.00,0.15,1159,60,Max. coverage
Springs,Uniform,Medium,2000,100000,0.03,10,65,15,100.00,0.23,610,0,Max. coverage
Random,Uniform,Medium,2000,100,0.00,12,3,1,100.00,0.01,0,25,Max. coverage
Random,Uniform,Medium,2000,200,0.00,12,6,1,100.00,0.01,4,61,Max. coverage
Random,Uniform,Medium,2000,500,0.00,12,7,1,100.00,0.01,20,84,Max. coverage
Random,Uniform,Medium,2000,1000,0.00,12,12,1,100.00,0.01,91,130,Max. coverage
Random,Uniform,Medium,2000,2000,0.00,12,16,1,100.00,0.02,316,180,Max. coverage
Random,Uniform,Medium,2000,5000,0.00,12,17,3,100.00,0.04,813,139,Max. coverage
Springs,Uniform,Medium,2000,50000,0.01,11,33,12,100.00,0.23,3049,37,Max. coverage
Random,Uniform,Medium,2000,10000,0.00,12,20,6,100.00,0.08,1745,114,Max. coverage
Springs,Uniform,Medium,2000,100000,0.03,10,65,15,100.00,0.23,1580,3,Max. coverage
Random,Uniform,Medium,2000,100,0.00,12,3,1,100.00,0.01,0,26,Max. coverage
Random,Uniform,Medium,2000,200,0.00,12,3,1,100.00,0.01,1,25,Max. coverage
Random,Uniform,Medium,2000,500,0.00,12,9,1,100.00,0.01,28,96,Max. coverage
Random,Uniform,Medium,2000,1000,0.00,12,12,1,100.00,0.01,90,135,Max. coverage
Random,Uniform,Medium,2000,2000,0.00,12,12,1,100.00,0.02,196,131,Max. coverage
Random,Uniform,Medium,2000,5000,0.00,12,14,3,100.00,0.05,628,116,Max. coverage
Random,Uniform,Medium,2000,10000,0.00,12,19,6,100.00,0.08,1655,108,Max. coverage
Random,Uniform,Medium,2000,20000,0.01,12,26,7,100.00,0.12,5827,129,Max. coverage
Random,Uniform,Medium,2000,20000,0.01,12,26,6,100.00,0.12,5511,122,Max. coverage
Random,Uniform,Medium,2000,50000,0.01,11,41,14,100.00,0.18,26486,131,Max. coverage
Random,Uniform,Medium,2000,50000,0.01,11,44,10,100.00,0.17,31018,157,Max. coverage
Random,Uniform,Medium,2000,100000,0.03,10,67,15,100.00,0.23,17919,27,Max. coverage
Springs,Uniform,Hard,2000,100,0.00,10,69,1,100.00,0.00,1959,2216,Max. coverage
Springs,Uniform,Hard,2000,200,0.00,10,107,1,100.00,0.00,1968,1418,Max. coverage
Springs,Uniform,Hard,2000,500,0.00,10,150,1,100.00,0.00,622,146,Max. coverage
Springs,Uniform,Hard,2000,1000,0.00,10,167,1,100.00,0.01,2130,260,Max. coverage
Random,Uniform,Medium,2000,100000,0.03,10,67,11,100.00,0.23,18255,27,Max. coverage
Springs,Uniform,Hard,2000,100,0.00,10,50,1,100.00,0.00,217,507,Max. coverage
Springs,Uniform,Hard,2000,200,0.00,10,89,1,100.00,0.00,811,639,Max. coverage
Springs,Uniform,Hard,2000,500,0.00,10,143,1,100.00,0.00,79,14,Max. coverage
Springs,Uniform,Hard,2000,1000,0.00,10,166,1,100.00,0.01,2179,263,Max. coverage
Springs,Uniform,Hard,2000,2000,0.00,10,144,1,100.00,0.01,8478,641,Max. coverage
Springs,Uniform,Hard,2000,2000,0.00,10,180,1,100.00,0.01,14701,1053,Max. coverage
Springs,Uniform,Hard,2000,5000,0.00,10,138,1,100.00,0.03,17892,519,Max. coverage
Springs,Uniform,Hard,2000,5000,0.00,10,158,1,100.00,0.03,26156,751,Max. coverage
Springs,Uniform,Hard,2000,10000,0.00,10,167,1,100.00,0.06,20091,230,Max. coverage
Springs,Uniform,Hard,2000,20000,0.01,10,204,2,100.00,0.09,13948,62,Max. coverage
Springs,Uniform,Hard,2000,10000,0.00,10,174,1,100.00,0.05,25022,290,Max. coverage
Springs,Uniform,Hard,2000,20000,0.01,10,203,2,100.00,0.09,12640,58,Max. coverage
Springs,Uniform,Hard,2000,50000,0.01,10,300,5,100.00,0.16,7093,8,Max. coverage
Springs,Uniform,Hard,2000,50000,0.01,10,305,5,100.00,0.16,43693,61,Max. coverage
Springs,Uniform,Hard,2000,100000,0.03,8,500,4,100.00,0.19,10817,3,Max. coverage
Random,Uniform,Hard,2000,100,0.00,10,72,1,100.00,0.00,2448,1119,Max. coverage
Random,Uniform,Hard,2000,200,0.00,10,132,1,100.00,0.00,13388,1974,Max. coverage
Random,Uniform,Hard,2000,500,0.00,10,226,1,100.00,0.00,27519,1487,Max. coverage
Random,Uniform,Hard,2000,1000,0.00,10,332,1,100.00,0.00,92020,2441,Max. coverage
Springs,Uniform,Hard,2000,100000,0.03,8,509,5,100.00,0.19,227167,102,Max. coverage
Random,Uniform,Hard,2000,100,0.00,10,76,1,100.00,0.00,3500,1429,Max. coverage
Random,Uniform,Hard,2000,200,0.00,10,119,1,100.00,0.00,10356,1558,Max. coverage
Random,Uniform,Hard,2000,500,0.00,10,235,1,100.00,0.00,35130,1873,Max. coverage
Random,Uniform,Hard,2000,1000,0.00,10,296,1,100.00,0.00,72646,1921,Max. coverage
Random,Uniform,Hard,2000,2000,0.00,10,386,1,100.00,0.01,253992,3381,Max. coverage
Random,Uniform,Hard,2000,2000,0.00,10,419,1,100.00,0.00,280394,3795,Max. coverage
Random,Uniform,Hard,2000,5000,0.00,10,472,1,100.00,0.01,794163,4150,Max. coverage
Random,Uniform,Hard,2000,5000,0.00,10,469,1,100.00,0.01,794521,4156,Max. coverage
Random,Uniform,Hard,2000,10000,0.00,10,492,1,100.00,0.02,1509187,3788,Max. coverage
Random,Uniform,Hard,2000,10000,0.00,10,516,1,100.00,0.02,1614426,4052,Max. coverage
Random,Uniform,Hard,2000,20000,0.01,10,513,1,100.00,0.04,2808887,3455,Max. coverage
Random,Uniform,Hard,2000,20000,0.01,10,544,1,100.00,0.04,3157966,3801,Max. coverage
Random,Uniform,Hard,2000,50000,0.01,10,466,2,100.00,0.10,3770882,1839,Max. coverage
Random,Uniform,Hard,2000,50000,0.01,10,523,1,100.00,0.09,5154381,2462,Max. coverage
Random,Uniform,Hard,2000,100000,0.03,8,573,5,100.00,0.17,3736608,807,Max. coverage
Springs,Uniform,Soft,2000,100,0.00,12,3,1,100.00,0.00,0,46,Max. coverage
Springs,Uniform,Soft,2000,200,0.00,12,3,1,100.00,0.01,1,46,Max. coverage
Springs,Uniform,Soft,2000,100,0.00,12,3,1,100.00,0.00,1,59,Max. coverage
Springs,Uniform,Soft,2000,500,0.00,12,3,1,100.00,0.02,4,47,Max. coverage
Springs,Uniform,Soft,2000,200,0.00,12,3,1,100.00,0.01,1,45,Max. coverage
Springs,Uniform,Soft,2000,500,0.00,12,3,1,100.00,0.02,4,49,Max. coverage
Springs,Uniform,Soft,2000,1000,0.00,12,4,1,100.00,0.02,14,67,Max. coverage
Springs,Uniform,Soft,2000,1000,0.00,12,4,1,100.00,0.02,14,64,Max. coverage
Springs,Uniform,Soft,2000,2000,0.00,12,4,3,100.00,0.05,29,63,Max. coverage
Springs,Uniform,Soft,2000,2000,0.00,12,4,3,100.00,0.05,27,57,Max. coverage
Springs,Uniform,Soft,2000,5000,0.00,12,5,4,100.00,0.10,17,8,Max. coverage
Springs,Uniform,Soft,2000,5000,0.00,12,5,5,100.00,0.10,19,9,Max. coverage
Springs,Uniform,Soft,2000,10000,0.00,12,7,6,100.00,0.14,220,41,Max. coverage
Springs,Uniform,Soft,2000,10000,0.00,12,7,6,100.00,0.14,250,47,Max. coverage
Springs,Uniform,Soft,2000,20000,0.01,12,11,8,100.00,0.17,379,29,Max. coverage
Springs,Uniform,Soft,2000,20000,0.01,12,12,8,100.00,0.16,604,39,Max. coverage
Springs,Uniform,Soft,2000,50000,0.01,11,20,15,100.00,0.24,1297,16,Max. coverage
Springs,Uniform,Soft,2000,50000,0.01,11,20,13,100.00,0.24,1624,22,Max. coverage
Springs,Uniform,Soft,2000,100000,0.03,10,80,6,100.00,0.12,730,0,Max. coverage
Random,Uniform,Soft,2000,100,0.00,12,4,1,100.00,0.00,1,45,Max. coverage
Random,Uniform,Soft,2000,200,0.00,12,4,1,100.00,0.01,3,45,Max. coverage
Random,Uniform,Soft,2000,500,0.00,12,5,1,100.00,0.01,11,55,Max. coverage
Random,Uniform,Soft,2000,1000,0.00,12,4,1,100.00,0.02,18,49,Max. coverage
Springs,Uniform,Soft,2000,100000,0.03,10,80,8,100.00,0.12,716,0,Max. coverage
Random,Uniform,Soft,2000,100,0.00,12,4,1,100.00,0.00,1,44,Max. coverage
Random,Uniform,Soft,2000,200,0.00,12,5,1,100.00,0.00,4,51,Max. coverage
Random,Uniform,Soft,2000,500,0.00,12,5,1,100.00,0.01,10,54,Max. coverage
Random,Uniform,Soft,2000,1000,0.00,12,5,1,100.00,0.02,28,63,Max. coverage
Random,Uniform,Soft,2000,2000,0.00,12,5,3,100.00,0.04,56,62,Max. coverage
Random,Uniform,Soft,2000,2000,0.00,12,5,4,100.00,0.04,49,53,Max. coverage
Random,Uniform,Soft,2000,5000,0.00,12,6,5,100.00,0.08,65,18,Max. coverage
Random,Uniform,Soft,2000,5000,0.00,12,6,6,100.00,0.08,66,17,Max. coverage
Random,Uniform,Soft,2000,10000,0.00,12,9,7,100.00,0.11,598,56,Max. coverage
Random,Uniform,Soft,2000,10000,0.00,12,9,5,100.00,0.11,663,59,Max. coverage
Random,Uniform,Soft,2000,20000,0.01,12,13,9,100.00,0.15,1489,39,Max. coverage
Random,Uniform,Soft,2000,20000,0.01,12,14,10,100.00,0.14,1805,51,Max. coverage
Random,Uniform,Soft,2000,50000,0.01,10,33,7,100.00,0.14,26376,160,Max. coverage
Random,Uniform,Soft,2000,100000,0.03,10,80,7,100.00,0.12,1077,0,Max. coverage
Springs,Uniform,Medium,2000,100,0.00,12,2,1,100.00,0.01,0,23,Max. coverage
Springs,Uniform,Medium,2000,200,0.00,12,3,1,100.00,0.01,1,39,Max. coverage
Springs,Uniform,Medium,2000,500,0.00,12,5,1,100.00,0.02,10,89,Max. coverage
Springs,Uniform,Medium,2000,1000,0.00,12,6,1,100.00,0.03,20,81,Max. coverage
Springs,Uniform,Medium,2000,2000,0.00,12,7,1,100.00,0.04,58,95,Max. coverage
Springs,Uniform,Medium,2000,5000,0.00,12,8,4,100.00,0.09,104,48,Max. coverage
Springs,Uniform,Medium,2000,10000,0.00,12,11,6,100.00,0.14,143,23,Max. coverage
Springs,Uniform,Medium,2000,20000,0.01,12,17,6,100.00,0.18,450,24,Max. coverage
Random,Uniform,Soft,2000,50000,0.01,10,36,7,100.00,0.13,30198,186,Max. coverage
Random,Uniform,Soft,2000,100000,0.03,10,80,5,100.00,0.12,713,0,Max. coverage
Springs,Uniform,Medium,2000,100,0.00,12,2,1,100.00,0.01,0,23,Max. coverage
Springs,Uniform,Medium,2000,200,0.00,12,4,1,100.00,0.01,2,64,Max. coverage
Springs,Uniform,Medium,2000,500,0.00,12,5,1,100.00,0.02,9,83,Max. coverage
Springs,Uniform,Medium,2000,1000,0.00,12,6,1,100.00,0.03,22,88,Max. coverage
Springs,Uniform,Medium,2000,2000,0.00,12,7,2,100.00,0.04,50,84,Max. coverage
