Method,Pos. distr.,Period distr., Map size, ED, Dens, Max. SF, GW, Channels, Coverage, Avg. UF, Elapsed, Iters, Exit cond.
Springs,Uniform,Medium,1000,20000,0.02,12,9,7,100.00,0.34,1123,70,Max. coverage
Springs,Uniform,Medium,1000,50000,0.05,12,14,13,100.00,0.54,7288,98,Max. coverage
Springs,Uniform,Medium,1000,100000,0.10,9,29,11,100.00,0.52,50939,145,Max. coverage
Random,Uniform,Medium,1000,100,0.00,12,2,1,100.00,0.01,0,14,Max. coverage
Random,Uniform,Medium,1000,200,0.00,12,2,1,100.00,0.02,0,12,Max. coverage
Random,Uniform,Medium,1000,500,0.00,12,4,1,100.00,0.02,5,37,Max. coverage
Random,Uniform,Medium,1000,1000,0.00,12,2,2,100.00,0.08,3,14,Max. coverage
Random,Uniform,Medium,1000,2000,0.00,12,3,3,100.00,0.10,18,26,Max. coverage
Random,Uniform,Medium,1000,5000,0.01,12,5,5,100.00,0.15,156,61,Max. coverage
Random,Uniform,Medium,1000,10000,0.01,12,9,5,100.00,0.17,828,106,Max. coverage
Random,Uniform,Medium,1000,20000,0.02,12,11,9,100.00,0.27,2645,81,Max. coverage
Random,Uniform,Medium,1000,50000,0.05,12,17,12,100.00,0.44,16732,90,Max. coverage
Springs,Uniform,Medium,1000,100000,0.10,9,31,10,100.00,0.49,72955,241,Max. coverage
Random,Uniform,Medium,1000,100,0.00,12,2,1,100.00,0.01,0,12,Max. coverage
Random,Uniform,Medium,1000,200,0.00,12,2,1,100.00,0.02,0,13,Max. coverage
Random,Uniform,Medium,1000,500,0.00,12,2,1,100.00,0.04,1,12,Max. coverage
Random,Uniform,Medium,1000,1000,0.00,12,3,1,100.00,0.05,8,27,Max. coverage
Random,Uniform,Medium,1000,2000,0.00,12,4,3,100.00,0.07,29,42,Max. coverage
Random,Uniform,Medium,1000,5000,0.01,12,6,5,100.00,0.13,175,71,Max. coverage
Random,Uniform,Medium,1000,10000,0.01,12,7,5,100.00,0.22,617,81,Max. coverage
Random,Uniform,Medium,1000,20000,0.02,12,11,9,100.00,0.27,2551,81,Max. coverage
Random,Uniform,Medium,1000,50000,0.05,12,18,14,100.00,0.42,18385,99,Max. coverage
Random,Uniform,Medium,1000,100000,0.10,9,41,10,100.00,0.37,167299,256,Max. coverage
Springs,Uniform,Hard,1000,100,0.00,12,21,1,100.00,0.00,5,22,Max. coverage
Springs,Uniform,Hard,1000,200,0.00,12,45,1,100.00,0.00,234,385,Max. coverage
Springs,Uniform,Hard,1000,500,0.00,12,44,1,100.00,0.01,344,338,Max. coverage
Springs,Uniform,Hard,1000,1000,0.00,12,31,1,100.00,0.03,443,216,Max. coverage
Springs,Uniform,Hard,1000,2000,0.00,12,38,1,100.00,0.05,1261,295,Max. coverage
Springs,Uniform,Hard,1000,5000,0.01,12,41,3,100.00,0.12,2547,199,Max. coverage
Springs,Uniform,Hard,1000,10000,0.01,12,39,5,100.00,0.24,2006,75,Max. coverage
Springs,Uniform,Hard,1000,20000,0.02,12,68,6,100.00,0.28,8391,110,Max. coverage
Springs,Uniform,Hard,1000,50000,0.05,12,107,7,100.00,0.45,51369,93,Max. coverage
Random,Uniform,Medium,1000,100000,0.10,9,48,9,100.00,0.31,200396,330,Max. coverage
Springs,Uniform,Hard,1000,100,0.00,12,29,1,100.00,0.00,34,149,Max. coverage
Springs,Uniform,Hard,1000,200,0.00,12,29,1,100.00,0.01,68,161,Max. coverage
Springs,Uniform,Hard,1000,500,0.00,12,30,1,100.00,0.02,210,202,Max. coverage
Springs,Uniform,Hard,1000,1000,0.00,12,30,1,100.00,0.03,466,206,Max. coverage
Springs,Uniform,Hard,1000,2000,0.00,12,35,1,100.00,0.06,1162,274,Max. coverage
Springs,Uniform,Hard,1000,5000,0.01,12,36,2,100.00,0.13,1266,119,Max. coverage
Springs,Uniform,Hard,1000,10000,0.01,12,38,5,100.00,0.25,1803,65,Max. coverage
Springs,Uniform,Hard,1000,20000,0.02,12,71,6,100.00,0.27,11793,136,Max. coverage
Springs,Uniform,Hard,1000,50000,0.05,12,107,9,100.00,0.45,28198,86,Max. coverage
Springs,Uniform,Hard,1000,100000,0.10,9,208,13,100.00,0.46,83457,89,Max. coverage
Random,Uniform,Hard,1000,100,0.00,12,45,1,100.00,0.00,497,418,Max. coverage
Random,Uniform,Hard,1000,200,0.00,12,51,1,100.00,0.00,1189,446,Max. coverage
Random,Uniform,Hard,1000,500,0.00,12,75,1,100.00,0.01,4548,672,Max. coverage
Random,Uniform,Hard,1000,1000,0.00,12,86,1,100.00,0.01,10226,762,Max. coverage
Random,Uniform,Hard,1000,2000,0.00,12,96,1,100.00,0.02,23372,863,Max. coverage
Random,Uniform,Hard,1000,5000,0.01,12,102,1,100.00,0.05,57582,820,Max. coverage
Springs,Uniform,Hard,1000,100000,0.10,9,217,12,100.00,0.44,184455,192,Max. coverage
Random,Uniform,Hard,1000,100,0.00,12,46,1,100.00,0.00,651,501,Max. coverage
Random,Uniform,Hard,1000,200,0.00,12,55,1,100.00,0.00,1325,512,Max. coverage
Random,Uniform,Hard,1000,500,0.00,12,71,1,100.00,0.01,4339,636,Max. coverage
Random,Uniform,Hard,1000,1000,0.00,12,87,1,100.00,0.01,10204,775,Max. coverage
Random,Uniform,Hard,1000,2000,0.00,12,95,1,100.00,0.02,23072,857,Max. coverage
Random,Uniform,Hard,1000,10000,0.01,12,94,1,100.00,0.10,94148,672,Max. coverage
Random,Uniform,Hard,1000,5000,0.01,12,100,1,100.00,0.05,54828,805,Max. coverage
Random,Uniform,Hard,1000,10000,0.01,12,102,1,100.00,0.09,106450,759,Max. coverage
Random,Uniform,Hard,1000,20000,0.02,12,116,4,100.00,0.16,187350,627,Max. coverage
Random,Uniform,Hard,1000,20000,0.02,12,108,4,100.00,0.18,167747,540,Max. coverage
Random,Uniform,Hard,1000,50000,0.05,12,153,7,100.00,0.31,586672,591,Max. coverage
Random,Uniform,Hard,1000,50000,0.05,12,146,7,100.00,0.33,506015,513,Max. coverage
Random,Uniform,Hard,1000,100000,0.10,9,207,13,100.00,0.46,149921,79,Max. coverage
Random,Uniform,Hard,1000,100000,0.10,9,221,13,100.00,0.43,454619,236,Max. coverage
Springs,Uniform,Soft,1000,100,0.00,12,1,1,100.00,0.01,0,0,Max. coverage
Springs,Uniform,Soft,1000,100,0.00,12,1,1,100.00,0.01,0,0,Max. coverage
Springs,Uniform,Soft,1000,200,0.00,12,1,1,100.00,0.02,0,0,Max. coverage
Springs,Uniform,Soft,1000,200,0.00,12,1,1,100.00,0.02,0,0,Max. coverage
Springs,Uniform,Soft,1000,500,0.00,12,1,1,100.00,0.05,0,0,Max. coverage
Springs,Uniform,Soft,1000,500,0.00,12,1,1,100.00,0.05,0,0,Max. coverage
Springs,Uniform,Soft,1000,1000,0.00,12,1,1,100.00,0.10,0,0,Max. coverage
Springs,Uniform,Soft,1000,1000,0.00,12,1,1,100.00,0.10,0,1,Max. coverage
Springs,Uniform,Soft,1000,2000,0.00,12,2,2,100.00,0.10,8,22,Max. coverage
Springs,Uniform,Soft,1000,2000,0.00,12,2,2,100.00,0.10,8,23,Max. coverage
Springs,Uniform,Soft,1000,5000,0.01,12,3,3,100.00,0.16,33,28,Max. coverage
Springs,Uniform,Soft,1000,5000,0.01,12,3,3,100.00,0.16,35,29,Max. coverage
Springs,Uniform,Soft,1000,10000,0.01,12,4,4,100.00,0.24,127,40,Max. coverage
Springs,Uniform,Soft,1000,10000,0.01,12,4,4,100.00,0.24,137,43,Max. coverage
Springs,Uniform,Soft,1000,20000,0.02,12,6,6,100.00,0.32,176,14,Max. coverage
Springs,Uniform,Soft,1000,20000,0.02,12,6,6,100.00,0.32,347,27,Max. coverage
Springs,Uniform,Soft,1000,50000,0.05,12,11,11,100.00,0.43,968,21,Max. coverage
Springs,Uniform,Soft,1000,50000,0.05,12,11,11,100.00,0.43,1137,26,Max. coverage
Springs,Uniform,Soft,1000,100000,0.10,10,18,15,100.00,0.53,19084,84,Max. coverage
Random,Uniform,Soft,1000,100,0.00,12,1,1,100.00,0.01,0,0,Max. coverage
Random,Uniform,Soft,1000,200,0.00,12,1,1,100.00,0.02,0,1,Max. coverage
Random,Uniform,Soft,1000,500,0.00,12,1,1,100.00,0.05,0,0,Max. coverage
Random,Uniform,Soft,1000,1000,0.00,12,2,1,100.00,0.05,3,15,Max. coverage
Random,Uniform,Soft,1000,2000,0.00,12,2,2,100.00,0.10,8,15,Max. coverage
Random,Uniform,Soft,1000,5000,0.01,12,3,3,100.00,0.16,64,31,Max. coverage
Random,Uniform,Soft,1000,10000,0.01,12,5,5,100.00,0.19,322,58,Max. coverage
Random,Uniform,Soft,1000,20000,0.02,12,7,7,100.00,0.27,657,28,Max. coverage
Random,Uniform,Soft,1000,50000,0.05,12,12,11,100.00,0.40,4016,31,Max. coverage
Springs,Uniform,Soft,1000,100000,0.10,9,22,8,100.00,0.43,44800,160,Max. coverage
Random,Uniform,Soft,1000,100,0.00,12,1,1,100.00,0.01,0,0,Max. coverage
Random,Uniform,Soft,1000,200,0.00,12,1,1,100.00,0.02,0,3,Max. coverage
Random,Uniform,Soft,1000,500,0.00,12,1,1,100.00,0.05,0,0,Max. coverage
Random,Uniform,Soft,1000,1000,0.00,12,1,1,100.00,0.10,0,0,Max. coverage
Random,Uniform,Soft,1000,2000,0.00,12,2,2,100.00,0.10,9,16,Max. coverage
Random,Uniform,Soft,1000,5000,0.01,12,3,3,100.00,0.16,58,30,Max. coverage
Random,Uniform,Soft,1000,10000,0.01,12,4,4,100.00,0.24,261,48,Max. coverage
Random,Uniform,Soft,1000,20000,0.02,12,7,7,100.00,0.27,625,27,Max. coverage
Random,Uniform,Soft,1000,50000,0.05,12,12,11,100.00,0.40,3364,26,Max. coverage
Random,Uniform,Soft,1000,100000,0.10,10,22,13,100.00,0.43,57513,85,Max. coverage
Springs,Uniform,Medium,1000,100,0.00,12,2,1,100.00,0.01,0,13,Max. coverage
Springs,Uniform,Medium,1000,200,0.00,12,2,1,100.00,0.02,0,23,Max. coverage
Springs,Uniform,Medium,1000,500,0.00,12,2,1,100.00,0.04,1,22,Max. coverage
Springs,Uniform,Medium,1000,1000,0.00,12,2,2,100.00,0.08,6,37,Max. coverage
Springs,Uniform,Medium,1000,2000,0.00,12,3,3,100.00,0.10,14,34,Max. coverage
Springs,Uniform,Medium,1000,5000,0.01,12,4,4,100.00,0.19,61,45,Max. coverage
Springs,Uniform,Medium,1000,10000,0.01,12,6,5,100.00,0.25,316,79,Max. coverage
Springs,Uniform,Medium,1000,20000,0.02,12,9,9,100.00,0.34,1130,71,Max. coverage
Springs,Uniform,Medium,1000,50000,0.05,12,14,14,100.00,0.54,5426,74,Max. coverage
Random,Uniform,Soft,1000,100000,0.10,10,24,15,100.00,0.40,68113,110,Max. coverage
Springs,Uniform,Medium,1000,100,0.00,12,2,1,100.00,0.01,0,12,Max. coverage
Springs,Uniform,Medium,1000,200,0.00,12,2,1,100.00,0.02,0,24,Max. coverage
Springs,Uniform,Medium,1000,500,0.00,12,2,1,100.00,0.04,1,14,Max. coverage
Springs,Uniform,Medium,1000,1000,0.00,12,2,2,100.00,0.08,5,32,Max. coverage
Springs,Uniform,Medium,1000,2000,0.00,12,3,3,100.00,0.10,14,34,Max. coverage
Springs,Uniform,Medium,1000,5000,0.01,12,4,4,100.00,0.19,68,51,Max. coverage
Springs,Uniform,Medium,1000,10000,0.01,12,6,6,100.00,0.25,303,75,Max. coverage
Springs,Uniform,Medium,1000,20000,0.02,12,10,8,100.00,0.30,1143,74,Max. coverage
Springs,Uniform,Medium,1000,50000,0.05,12,15,12,100.00,0.50,6906,100,Max. coverage
Springs,Uniform,Medium,1000,100000,0.10,9,30,11,100.00,0.50,67993,187,Max. coverage
Random,Uniform,Medium,1000,100,0.00,12,2,1,100.00,0.01,0,14,Max. coverage
Random,Uniform,Medium,1000,200,0.00,12,2,1,100.00,0.02,0,13,Max. coverage
Random,Uniform,Medium,1000,500,0.00,12,3,1,100.00,0.03,3,26,Max. coverage
Random,Uniform,Medium,1000,1000,0.00,12,3,2,100.00,0.05,8,30,Max. coverage
Random,Uniform,Medium,1000,2000,0.00,12,4,3,100.00,0.07,34,43,Max. coverage
Random,Uniform,Medium,1000,5000,0.01,12,5,5,100.00,0.15,157,61,Max. coverage
Random,Uniform,Medium,1000,10000,0.01,12,8,6,100.00,0.19,735,100,Max. coverage
Random,Uniform,Medium,1000,20000,0.02,12,12,8,100.00,0.25,2839,89,Max. coverage
Random,Uniform,Medium,1000,50000,0.05,12,18,14,100.00,0.42,18995,103,Max. coverage
Springs,Uniform,Medium,1000,100000,0.10,9,29,10,100.00,0.52,54834,155,Max. coverage
Random,Uniform,Medium,1000,100,0.00,12,2,1,100.00,0.01,0,12,Max. coverage
Random,Uniform,Medium,1000,200,0.00,12,2,1,100.00,0.02,0,13,Max. coverage
Random,Uniform,Medium,1000,500,0.00,12,2,1,100.00,0.04,2,16,Max. coverage
Random,Uniform,Medium,1000,1000,0.00,12,3,2,100.00,0.05,7,27,Max. coverage
Random,Uniform,Medium,1000,2000,0.00,12,4,3,100.00,0.07,26,39,Max. coverage
Random,Uniform,Medium,1000,5000,0.01,12,6,5,100.00,0.13,172,67,Max. coverage
Random,Uniform,Medium,1000,10000,0.01,12,9,6,100.00,0.17,770,103,Max. coverage
Random,Uniform,Medium,1000,20000,0.02,12,12,8,100.00,0.25,2863,95,Max. coverage
Random,Uniform,Medium,1000,50000,0.05,12,17,15,100.00,0.44,17427,93,Max. coverage
Random,Uniform,Medium,1000,100000,0.10,9,42,8,100.00,0.36,179639,272,Max. coverage
Springs,Uniform,Hard,1000,100,0.00,12,20,1,100.00,0.00,2,5,Max. coverage
Springs,Uniform,Hard,1000,200,0.00,12,28,1,100.00,0.01,89,170,Max. coverage
Springs,Uniform,Hard,1000,500,0.00,12,34,1,100.00,0.01,263,261,Max. coverage
Springs,Uniform,Hard,1000,1000,0.00,12,32,1,100.00,0.03,516,207,Max. coverage
Springs,Uniform,Hard,1000,2000,0.00,12,38,1,100.00,0.05,1332,289,Max. coverage
Springs,Uniform,Hard,1000,5000,0.01,12,39,2,100.00,0.12,1964,153,Max. coverage
Springs,Uniform,Hard,1000,10000,0.01,12,40,5,100.00,0.24,3066,104,Max. coverage
Springs,Uniform,Hard,1000,20000,0.02,12,65,5,100.00,0.29,4996,65,Max. coverage
Random,Uniform,Medium,1000,100000,0.10,9,46,8,100.00,0.33,189328,316,Max. coverage
Springs,Uniform,Hard,1000,100,0.00,12,21,1,100.00,0.00,5,25,Max. coverage
Springs,Uniform,Hard,1000,200,0.00,12,47,1,100.00,0.00,317,441,Max. coverage
Springs,Uniform,Hard,1000,500,0.00,12,33,1,100.00,0.02,334,264,Max. coverage
Springs,Uniform,Hard,1000,1000,0.00,12,31,1,100.00,0.03,490,206,Max. coverage
Springs,Uniform,Hard,1000,2000,0.00,12,35,1,100.00,0.06,1157,267,Max. coverage
Springs,Uniform,Hard,1000,5000,0.01,12,35,1,100.00,0.14,1439,100,Max. coverage
Springs,Uniform,Hard,1000,10000,0.01,12,41,5,100.00,0.23,3412,112,Max. coverage
Springs,Uniform,Hard,1000,20000,0.02,12,65,4,100.00,0.29,4907,69,Max. coverage
Springs,Uniform,Hard,1000,50000,0.05,12,109,7,100.00,0.44,50994,122,Max. coverage
Springs,Uniform,Hard,1000,50000,0.05,12,111,7,100.00,0.43,35221,126,Max. coverage
Springs,Uniform,Hard,1000,100000,0.10,9,204,11,100.00,0.47,49295,52,Max. coverage
Random,Uniform,Hard,1000,100,0.00,12,48,1,100.00,0.00,572,459,Max. coverage
Random,Uniform,Hard,1000,200,0.00,12,62,1,100.00,0.00,1523,551,Max. coverage
Random,Uniform,Hard,1000,500,0.00,12,77,1,100.00,0.01,4614,676,Max. coverage
Random,Uniform,Hard,1000,1000,0.00,12,87,1,100.00,0.01,10619,780,Max. coverage
Random,Uniform,Hard,1000,2000,0.00,12,104,1,100.00,0.02,26017,951,Max. coverage
Random,Uniform,Hard,1000,5000,0.01,12,106,1,100.00,0.05,59269,867,Max. coverage
Springs,Uniform,Hard,1000,100000,0.10,9,214,12,100.00,0.45,154604,160,Max. coverage
Random,Uniform,Hard,1000,100,0.00,12,39,1,100.00,0.00,425,359,Max. coverage
Random,Uniform,Hard,1000,200,0.00,12,58,1,100.00,0.00,1583,587,Max. coverage
Random,Uniform,Hard,1000,500,0.00,12,81,1,100.00,0.01,4964,730,Max. coverage
Random,Uniform,Hard,1000,1000,0.00,12,81,1,100.00,0.01,9588,698,Max. coverage
Random,Uniform,Hard,1000,2000,0.00,12,100,1,100.00,0.02,24494,913,Max. coverage
Random,Uniform,Hard,1000,10000,0.01,12,100,1,100.00,0.10,97446,732,Max. coverage
Random,Uniform,Hard,1000,5000,0.01,12,111,1,100.00,0.04,65242,921,Max. coverage
Random,Uniform,Hard,1000,10000,0.01,12,113,1,100.00,0.08,120671,881,Max. coverage
Random,Uniform,Hard,1000,20000,0.02,12,110,5,100.00,0.17,162652,563,Max. coverage
Random,Uniform,Hard,1000,20000,0.02,12,99,3,100.00,0.19,134481,439,Max. coverage
Random,Uniform,Hard,1000,50000,0.05,12,142,8,100.00,0.34,465488,468,Max. coverage
Random,Uniform,Hard,1000,50000,0.05,12,156,7,100.00,0.31,606629,623,Max. coverage
Random,Uniform,Hard,1000,100000,0.10,9,206,13,100.00,0.46,129875,70,Max. coverage
Springs,Uniform,Soft,1000,100,0.00,12,1,1,100.00,0.01,0,0,Max. coverage
Springs,Uniform,Soft,1000,100,0.00,12,1,1,100.00,0.01,0,0,Max. coverage
Springs,Uniform,Soft,1000,200,0.00,12,1,1,100.00,0.02,0,0,Max. coverage
Springs,Uniform,Soft,1000,200,0.00,12,1,1,100.00,0.02,0,0,Max. coverage
Springs,Uniform,Soft,1000,500,0.00,12,1,1,100.00,0.05,0,0,Max. coverage
Springs,Uniform,Soft,1000,500,0.00,12,1,1,100.00,0.05,0,0,Max. coverage
Springs,Uniform,Soft,1000,1000,0.00,12,1,1,100.00,0.10,0,0,Max. coverage
Springs,Uniform,Soft,1000,1000,0.00,12,1,1,100.00,0.10,0,0,Max. coverage
Springs,Uniform,Soft,1000,2000,0.00,12,2,2,100.00,0.10,7,20,Max. coverage
Springs,Uniform,Soft,1000,2000,0.00,12,2,2,100.00,0.10,8,23,Max. coverage
Springs,Uniform,Soft,1000,5000,0.01,12,3,3,100.00,0.16,37,31,Max. coverage
Springs,Uniform,Soft,1000,5000,0.01,12,3,3,100.00,0.16,42,35,Max. coverage
Springs,Uniform,Soft,1000,10000,0.01,12,4,4,100.00,0.24,145,47,Max. coverage
Springs,Uniform,Soft,1000,10000,0.01,12,4,4,100.00,0.24,146,47,Max. coverage
Springs,Uniform,Soft,1000,20000,0.02,12,6,6,100.00,0.32,210,18,Max. coverage
Springs,Uniform,Soft,1000,20000,0.02,12,6,6,100.00,0.32,234,20,Max. coverage
Springs,Uniform,Soft,1000,50000,0.05,12,11,11,100.00,0.43,2268,42,Max. coverage
Springs,Uniform,Soft,1000,50000,0.05,12,11,11,100.00,0.43,2414,46,Max. coverage
Springs,Uniform,Soft,1000,100000,0.10,9,22,8,100.00,0.43,39204,164,Max. coverage
Random,Uniform,Soft,1000,100,0.00,12,1,1,100.00,0.01,0,0,Max. coverage
Random,Uniform,Soft,1000,200,0.00,12,1,1,100.00,0.02,0,0,Max. coverage
Random,Uniform,Soft,1000,500,0.00,12,1,1,100.00,0.05,0,0,Max. coverage
Random,Uniform,Soft,1000,1000,0.00,12,1,1,100.00,0.10,1,5,Max. coverage
Random,Uniform,Soft,1000,2000,0.00,12,2,2,100.00,0.10,8,15,Max. coverage
Random,Uniform,Soft,1000,5000,0.01,12,4,4,100.00,0.12,84,40,Max. coverage
Random,Uniform,Soft,1000,10000,0.01,12,4,4,100.00,0.24,252,48,Max. coverage
Random,Uniform,Soft,1000,20000,0.02,12,7,7,100.00,0.27,631,27,Max. coverage
Random,Uniform,Soft,1000,50000,0.05,12,12,10,100.00,0.40,4219,31,Max. coverage
Springs,Uniform,Soft,1000,100000,0.10,9,20,8,100.00,0.48,46571,137,Max. coverage
Random,Uniform,Soft,1000,100,0.00,12,1,1,100.00,0.01,0,0,Max. coverage
Random,Uniform,Soft,1000,200,0.00,12,1,1,100.00,0.02,0,5,Max. coverage
Random,Uniform,Soft,1000,500,0.00,12,1,1,100.00,0.05,0,0,Max. coverage
Random,Uniform,Soft,1000,1000,0.00,12,2,2,100.00,0.05,3,13,Max. coverage
Random,Uniform,Soft,1000,2000,0.00,12,2,2,100.00,0.10,10,17,Max. coverage
Random,Uniform,Soft,1000,5000,0.01,12,3,3,100.00,0.16,54,28,Max. coverage
Random,Uniform,Soft,1000,10000,0.01,12,5,5,100.00,0.19,298,52,Max. coverage
Random,Uniform,Soft,1000,20000,0.02,12,7,6,100.00,0.27,752,35,Max. coverage
Random,Uniform,Soft,1000,50000,0.05,12,12,12,100.00,0.40,3743,29,Max. coverage
Random,Uniform,Hard,1000,100000,0.10,9,211,14,100.00,0.45,235541,123,Max. coverage
Random,Uniform,Soft,1000,100000,0.10,10,25,11,100.00,0.38,67692,120,Max. coverage
Springs,Uniform,Medium,1000,100,0.00,12,2,1,100.00,0.01,0,12,Max. coverage
Springs,Uniform,Medium,1000,200,0.00,12,2,1,100.00,0.02,0,23,Max. coverage
Springs,Uniform,Medium,1000,500,0.00,12,3,1,100.00,0.03,2,25,Max. coverage
Springs,Uniform,Medium,1000,1000,0.00,12,3,1,100.00,0.05,6,40,Max. coverage
Springs,Uniform,Medium,1000,2000,0.00,12,3,3,100.00,0.10,12,30,Max. coverage
Springs,Uniform,Medium,1000,5000,0.01,12,4,4,100.00,0.19,69,51,Max. coverage
Springs,Uniform,Medium,1000,10000,0.01,12,6,5,100.00,0.25,311,78,Max. coverage
Springs,Uniform,Medium,1000,20000,0.02,12,9,8,100.00,0.34,1231,74,Max. coverage
Random,Uniform,Soft,1000,100000,0.10,10,24,15,100.00,0.40,65476,109,Max. coverage
Springs,Uniform,Medium,1000,100,0.00,12,2,1,100.00,0.01,0,13,Max. coverage
Springs,Uniform,Medium,1000,200,0.00,12,2,1,100.00,0.02,0,24,Max. coverage
Springs,Uniform,Medium,1000,500,0.00,12,2,1,100.00,0.04,1,24,Max. coverage
