GW Pos. Heuristic,ED Sched. Method,Position distr.,Periods distr.,Map size,ED Number,ED Dens. (1/m^2),Max. SF,GW Number,Channels used,ED Unfeas. Instances,Coverage %,GW Avg. UF,Elapsed,Iterations,Exit condition
Springs (Discr.),None,Uniform,Soft,1000,1000,0.00,12,1,1,0,100.00,0.29,34,2,Max. coverage
Springs (Discr.),None,Uniform,Soft,1000,1000,0.00,12,2,2,0,100.00,0.11,32,3,Max. coverage
Springs (Discr.),None,Uniform,Soft,1000,2000,0.00,12,2,2,0,100.00,0.22,138,3,Max. coverage
Springs (Discr.),None,Uniform,Soft,1000,2000,0.00,12,2,2,0,100.00,0.22,131,3,Max. coverage
Springs (Discr.),None,Uniform,Soft,1000,2000,0.00,12,2,2,0,100.00,0.24,141,3,Max. coverage
Springs (Discr.),None,Uniform,Soft,1000,2000,0.00,12,2,2,0,100.00,0.23,136,3,Max. coverage
Springs (Discr.),None,Uniform,Soft,1000,2000,0.00,12,2,2,0,100.00,0.21,129,3,Max. coverage
Springs (Discr.),None,Uniform,Soft,1000,5000,0.00,12,3,3,0,100.00,0.37,1051,106,Max. coverage
Springs (Discr.),None,Uniform,Soft,1000,5000,0.00,12,3,3,0,100.00,0.33,1027,103,Max. coverage
Springs (Discr.),None,Uniform,Soft,1000,5000,0.00,12,3,3,0,100.00,0.31,1072,103,Max. coverage
Springs (Discr.),None,Uniform,Soft,1000,5000,0.00,12,3,3,0,100.00,0.39,1065,105,Max. coverage
Springs (Discr.),None,Uniform,Soft,1000,5000,0.00,12,3,3,0,100.00,0.36,1029,103,Max. coverage
Springs (Discr.),None,Uniform,Soft,2000,10000,0.00,12,8,8,0,100.00,0.32,8485,611,Max. coverage
Springs (Discr.),None,Uniform,Soft,1000,10000,0.01,12,4,4,0,100.00,0.48,4420,203,Max. coverage
Springs (Discr.),None,Uniform,Soft,1000,10000,0.01,12,4,4,0,100.00,0.48,4437,204,Max. coverage
Springs (Discr.),None,Uniform,Soft,2000,10000,0.00,12,7,7,0,100.00,0.37,8156,598,Max. coverage
Springs (Discr.),None,Uniform,Soft,1000,10000,0.01,12,4,4,0,100.00,0.43,4285,203,Max. coverage
Springs (Discr.),None,Uniform,Soft,1000,10000,0.01,12,4,4,0,100.00,0.45,4193,203,Max. coverage
Springs (Discr.),None,Uniform,Soft,2000,10000,0.00,12,8,8,0,100.00,0.31,7978,608,Max. coverage
Springs (Discr.),None,Uniform,Soft,1000,10000,0.01,12,4,4,0,100.00,0.41,4182,203,Max. coverage
Springs (Discr.),None,Uniform,Soft,2000,10000,0.00,12,7,7,0,100.00,0.37,7282,536,Max. coverage
Springs (Discr.),None,Uniform,Soft,1000,20000,0.02,12,6,6,0,100.00,0.55,19403,412,Max. coverage
Springs (Discr.),None,Uniform,Soft,2000,20000,0.00,12,11,11,0,100.00,0.38,35809,954,Max. coverage
Springs (Discr.),None,Uniform,Soft,1000,20000,0.02,12,7,7,0,100.00,0.43,21179,503,Max. coverage
Springs (Discr.),None,Uniform,Soft,1000,20000,0.02,12,7,7,0,100.00,0.41,21110,503,Max. coverage
Springs (Discr.),None,Uniform,Soft,2000,20000,0.00,12,11,11,0,100.00,0.40,32384,904,Max. coverage
Springs (Discr.),None,Uniform,Soft,1000,20000,0.02,12,7,7,0,100.00,0.47,20507,503,Max. coverage
Springs (Discr.),None,Uniform,Soft,1000,20000,0.02,12,7,7,0,100.00,0.40,20703,503,Max. coverage
Springs (Discr.),None,Uniform,Soft,2000,1000,0.00,12,3,3,0,100.00,0.12,76,133,Max. coverage
Springs (Discr.),None,Uniform,Soft,2000,1000,0.00,12,4,4,0,100.00,0.08,107,210,Max. coverage
Springs (Discr.),None,Uniform,Soft,2000,1000,0.00,12,3,3,0,100.00,0.12,69,120,Max. coverage
Springs (Discr.),None,Uniform,Soft,2000,1000,0.00,12,4,4,0,100.00,0.09,106,203,Max. coverage
Springs (Discr.),None,Uniform,Soft,2000,1000,0.00,12,4,4,0,100.00,0.09,103,204,Max. coverage
Springs (Discr.),None,Uniform,Soft,2000,2000,0.00,12,4,4,0,100.00,0.16,281,204,Max. coverage
Springs (Discr.),None,Uniform,Soft,2000,2000,0.00,12,4,4,0,100.00,0.16,290,207,Max. coverage
Springs (Discr.),None,Uniform,Soft,2000,2000,0.00,12,4,4,0,100.00,0.16,286,203,Max. coverage
Springs (Discr.),None,Uniform,Soft,2000,2000,0.00,12,4,4,0,100.00,0.16,297,210,Max. coverage
Springs (Discr.),None,Uniform,Soft,2000,2000,0.00,12,4,4,0,100.00,0.16,295,211,Max. coverage
Springs (Discr.),None,Uniform,Soft,2000,20000,0.00,12,11,11,0,100.00,0.38,34245,903,Max. coverage
Springs (Discr.),None,Uniform,Soft,2000,5000,0.00,12,5,5,0,100.00,0.28,1619,305,Max. coverage
Springs (Discr.),None,Uniform,Soft,2000,5000,0.00,12,5,5,0,100.00,0.28,1726,333,Max. coverage
Springs (Discr.),None,Uniform,Soft,2000,5000,0.00,12,6,6,0,100.00,0.22,1922,403,Max. coverage
Springs (Discr.),None,Uniform,Soft,2000,5000,0.00,12,7,7,0,100.00,0.20,2301,510,Max. coverage
GA Opt.,None,Uniform,Hard,100,20000,2.00,7,25,25,0,66.46,0.17,383027,46190,Max. iterations
Springs (Discr.),None,Uniform,Soft,2000,5000,0.00,12,5,5,0,100.00,0.26,1400,303,Max. coverage
Springs (Discr.),None,Uniform,Soft,2000,10000,0.00,12,8,8,0,100.00,0.32,5146,606,Max. coverage
Springs (Discr.),None,Uniform,Soft,2000,10000,0.00,12,8,8,0,100.00,0.29,7065,603,Max. coverage
Springs (Discr.),None,Uniform,Soft,2000,10000,0.00,12,8,8,0,100.00,0.31,7898,605,Max. coverage
Springs (Discr.),None,Uniform,Soft,2000,20000,0.00,12,11,11,0,100.00,0.40,30082,919,Max. coverage
Springs (Discr.),None,Uniform,Soft,2000,10000,0.00,12,7,7,0,100.00,0.37,7203,503,Max. coverage
Springs (Discr.),None,Uniform,Soft,2000,10000,0.00,12,7,7,0,100.00,0.38,7180,509,Max. coverage
Springs (Discr.),None,Uniform,Soft,2000,20000,0.00,12,11,11,0,100.00,0.40,39914,934,Max. coverage
Springs (Discr.),None,Uniform,Soft,2000,20000,0.00,12,11,11,0,100.00,0.39,38072,929,Max. coverage
Springs (Discr.),None,Uniform,Soft,2000,20000,0.00,12,12,12,0,100.00,0.35,39450,1005,Max. coverage
Springs (Discr.),None,Uniform,Soft,2000,20000,0.00,12,12,12,0,100.00,0.36,36301,1007,Max. coverage
Springs (Discr.),None,Uniform,Soft,2000,20000,0.00,12,11,11,0,100.00,0.39,37123,905,Max. coverage
Springs (Discr.),None,Uniform,Soft,2000,20000,0.00,12,11,11,0,100.00,0.39,32983,903,Max. coverage
GA Opt.,None,Uniform,Hard,100,20000,2.00,7,21,21,0,55.78,0.17,375309,46542,Max. iterations
GA Opt.,None,Uniform,Hard,100,20000,2.00,7,24,23,0,63.65,0.17,365238,46516,Max. iterations
GA Opt.,None,Uniform,Hard,100,20000,2.00,7,23,23,0,61.05,0.17,368288,46383,Max. iterations
GA Opt.,None,Uniform,Hard,100,20000,2.00,7,30,30,0,79.34,0.17,365425,46531,Max. iterations
GA Opt.,None,Uniform,Hard,100,20000,2.00,7,23,22,0,60.98,0.17,372693,46333,Max. iterations
GA Opt.,None,Uniform,Hard,100,20000,2.00,7,24,24,0,63.87,0.17,371126,46335,Max. iterations
GA Opt.,None,Uniform,Hard,100,20000,2.00,7,26,26,0,69.00,0.17,360505,46391,Max. iterations
GA Opt.,None,Uniform,Hard,100,20000,2.00,7,25,25,0,66.59,0.17,362996,46320,Max. iterations
GA Opt.,None,Uniform,Hard,1000,1000,0.00,12,52,7,0,99.90,0.01,2768,7502,Max. iterations
GA Opt.,None,Uniform,Hard,1000,1000,0.00,12,52,7,0,100.00,0.01,2742,7506,Max. iterations
GA Opt.,None,Uniform,Hard,1000,1000,0.00,12,49,7,0,100.00,0.01,2855,7493,Max. iterations
GA Opt.,None,Uniform,Hard,1000,1000,0.00,12,47,7,0,100.00,0.01,2816,7495,Max. iterations
GA Opt.,None,Uniform,Hard,1000,1000,0.00,12,44,7,0,99.90,0.01,2773,7506,Max. iterations
GA Opt.,None,Uniform,Hard,1000,1000,0.00,12,49,7,0,100.00,0.01,2860,7509,Max. iterations
GA Opt.,None,Uniform,Hard,1000,1000,0.00,12,53,8,0,100.00,0.01,2825,7500,Max. iterations
GA Opt.,None,Uniform,Hard,1000,1000,0.00,12,52,6,0,99.80,0.01,2764,7498,Max. iterations
GA Opt.,None,Uniform,Hard,1000,1000,0.00,12,47,9,0,100.00,0.01,2789,7520,Max. iterations
GA Opt.,None,Uniform,Hard,1000,1000,0.00,12,47,8,0,100.00,0.01,2781,7507,Max. iterations
GA Opt.,None,Uniform,Hard,1000,2000,0.00,12,52,9,0,99.85,0.02,5455,7499,Max. iterations
GA Opt.,None,Uniform,Hard,1000,2000,0.00,12,57,8,0,99.60,0.02,5709,7537,Max. iterations
GA Opt.,None,Uniform,Hard,1000,2000,0.00,12,57,9,0,100.00,0.02,5664,7511,Max. iterations
GA Opt.,None,Uniform,Hard,1000,2000,0.00,12,51,7,0,99.95,0.02,5515,7534,Max. iterations
GA Opt.,None,Uniform,Hard,1000,2000,0.00,12,52,7,0,99.90,0.02,5600,7493,Max. iterations
GA Opt.,None,Uniform,Hard,1000,2000,0.00,12,60,7,0,99.95,0.01,5584,7520,Max. iterations
GA Opt.,None,Uniform,Hard,1000,2000,0.00,12,52,8,0,99.85,0.02,5656,7510,Max. iterations
GA Opt.,None,Uniform,Hard,1000,2000,0.00,12,53,9,0,100.00,0.02,5475,7514,Max. iterations
GA Opt.,None,Uniform,Hard,1000,2000,0.00,12,52,8,0,99.65,0.02,5553,7475,Max. iterations
GA Opt.,None,Uniform,Hard,1000,2000,0.00,12,51,8,0,99.50,0.02,5594,7527,Max. iterations
GA Opt.,None,Uniform,Hard,1000,5000,0.00,12,44,9,0,96.52,0.05,14463,7580,Max. iterations
GA Opt.,None,Uniform,Hard,1000,5000,0.00,12,42,8,0,98.62,0.06,14576,7566,Max. iterations
GA Opt.,None,Uniform,Hard,1000,5000,0.00,12,36,10,0,93.62,0.07,14114,7562,Max. iterations
GA Opt.,None,Uniform,Hard,1000,5000,0.00,12,42,8,0,97.56,0.06,13899,7543,Max. iterations
GA Opt.,None,Uniform,Hard,1000,5000,0.00,12,42,6,0,97.78,0.06,14457,7567,Max. iterations
GA Opt.,None,Uniform,Hard,1000,5000,0.00,12,37,8,0,96.86,0.06,14511,7532,Max. iterations
GA Opt.,None,Uniform,Hard,1000,5000,0.00,12,46,7,0,98.68,0.05,14081,7570,Max. iterations
GA Opt.,None,Uniform,Hard,1000,5000,0.00,12,38,9,0,96.98,0.06,13985,7531,Max. iterations
GA Opt.,None,Uniform,Hard,1000,5000,0.00,12,45,8,0,96.52,0.05,14097,7508,Max. iterations
GA Opt.,None,Uniform,Hard,1000,5000,0.00,12,45,8,0,96.32,0.05,14337,7535,Max. iterations
GA Opt.,None,Uniform,Hard,1000,10000,0.01,12,33,8,0,93.59,0.14,31575,7661,Max. iterations
GA Opt.,None,Uniform,Hard,1000,10000,0.01,12,36,11,0,91.52,0.13,30046,7589,Max. iterations
